"filename", "language", "Markdown", "C++", "XML", "HLSL", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\GrassLandSample\GrassLandSample.vcxproj", "XML", 0, 0, 129, 0, 0, 6, 135
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\README.md", "Markdown", 21, 0, 0, 0, 0, 1, 22
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.cpp", "C++", 0, 76, 0, 0, 14, 13, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.h", "C++", 0, 33, 0, 0, 1, 9, 43
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.cpp", "C++", 0, 219, 0, 0, 12, 68, 299
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.h", "C++", 0, 53, 0, 0, 1, 23, 77
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.cpp", "C++", 0, 131, 0, 0, 1, 35, 167
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.h", "C++", 0, 35, 0, 0, 0, 14, 49
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.cpp", "C++", 0, 111, 0, 0, 3, 23, 137
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.h", "C++", 0, 43, 0, 0, 0, 19, 62
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.cpp", "C++", 0, 135, 0, 0, 0, 36, 171
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.h", "C++", 0, 107, 0, 0, 0, 31, 138
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.cpp", "C++", 0, 129, 0, 0, 8, 44, 181
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.h", "C++", 0, 45, 0, 0, 14, 17, 76
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.cpp", "C++", 0, 51, 0, 0, 0, 17, 68
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.h", "C++", 0, 32, 0, 0, 3, 17, 52
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Mesh.cpp", "C++", 0, 247, 0, 0, 166, 78, 491
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Mesh.h", "C++", 0, 54, 0, 0, 7, 20, 81
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.cpp", "C++", 0, 1, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.h", "C++", 0, 7, 0, 0, 5, 5, 17
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.cpp", "C++", 0, 170, 0, 0, 16, 65, 251
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.h", "C++", 0, 36, 0, 0, 4, 28, 68
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.cpp", "C++", 0, 308, 0, 0, 88, 105, 501
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.h", "C++", 0, 91, 0, 0, 114, 76, 281
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.cpp", "C++", 0, 178, 0, 0, 13, 55, 246
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.h", "C++", 0, 33, 0, 0, 3, 26, 62
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.cpp", "C++", 0, 149, 0, 0, 3, 44, 196
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.h", "C++", 0, 32, 0, 0, 4, 24, 60
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.cpp", "C++", 0, 155, 0, 0, 7, 53, 215
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.h", "C++", 0, 37, 0, 0, 2, 28, 67
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.cpp", "C++", 0, 323, 0, 0, 41, 98, 462
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.h", "C++", 0, 57, 0, 0, 8, 23, 88
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.cpp", "C++", 0, 137, 0, 0, 2, 49, 188
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.h", "C++", 0, 30, 0, 0, 3, 22, 55
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.cpp", "C++", 0, 137, 0, 0, 2, 49, 188
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.h", "C++", 0, 30, 0, 0, 2, 23, 55
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.cpp", "C++", 0, 176, 0, 0, 14, 46, 236
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.h", "C++", 0, 41, 0, 0, 7, 20, 68
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectEnd.cpp", "C++", 0, 74, 0, 0, 3, 22, 99
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectEnd.h", "C++", 0, 27, 0, 0, 0, 16, 43
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.cpp", "C++", 0, 115, 0, 0, 0, 31, 146
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.h", "C++", 0, 30, 0, 0, 2, 19, 51
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSaturate.cpp", "C++", 0, 107, 0, 0, 0, 31, 138
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSaturate.h", "C++", 0, 33, 0, 0, 0, 20, 53
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectStarBurst.cpp", "C++", 0, 209, 0, 0, 9, 49, 267
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectStarBurst.h", "C++", 0, 44, 0, 0, 7, 21, 72
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PtrManager.cpp", "C++", 0, 94, 0, 0, 0, 25, 119
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PtrManager.h", "C++", 0, 57, 0, 0, 5, 33, 95
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.cpp", "C++", 0, 721, 0, 0, 59, 190, 970
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.h", "C++", 0, 174, 0, 0, 23, 69, 266
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.vcxproj", "XML", 0, 0, 363, 0, 0, 0, 363
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.cpp", "C++", 0, 249, 0, 0, 1, 66, 316
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.h", "C++", 0, 46, 0, 0, 0, 21, 67
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMeshAlloc.cpp", "C++", 0, 163, 0, 0, 6, 52, 221
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMeshAlloc.h", "C++", 0, 48, 0, 0, 0, 18, 66
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Sprite.cpp", "C++", 0, 72, 0, 0, 8, 25, 105
