"filename", "language", "C++", "XML", "HLSL", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Mesh.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.h", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectEnd.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSSAO.cpp", "C++", 157, 0, 0, 13, 48, 218
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSSAO.h", "C++", 32, 0, 0, 0, 19, 51
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSaturate.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectStarBurst.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectZShadow.cpp", "C++", 335, 0, 0, 10, 122, 467
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectZShadow.h", "C++", 42, 0, 0, 2, 30, 74
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.cpp", "C++", -116, 0, 0, -9, -26, -151
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.h", "C++", 0, 0, 0, 1, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.vcxproj", "XML", 0, 52, 0, 0, 0, 52
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.cpp", "C++", 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectZShadow.fx", "HLSL", 0, 0, 195, 47, 68, 310
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\Sample.vcxproj", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectDepthBufferShadow.fx", "HLSL", 0, 0, 195, 47, 68, 310
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectZShadow.fx", "HLSL", 0, 0, 195, 47, 68, 310
"Total", "-", 450, 53, 585, 174, 398, 1660
