"filename", "language", "C++", "HLSL", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\GrassLandSample\GrassLandSample.vcxproj", "XML", 0, 0, 0, 1, 0, -6, -5
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\README.md", "Markdown", 0, 0, 20, 0, 0, 16, 36
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.cpp", "C++", 15, 0, 0, 0, 0, 7, 22
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.cpp", "C++", -48, 0, 0, 0, 0, -6, -54
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.h", "C++", -10, 0, 0, 0, 7, 5, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.cpp", "C++", 17, 0, 0, 0, 3, 10, 30
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.h", "C++", 4, 0, 0, 0, 0, 3, 7
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\GBuffer.cpp", "C++", 139, 0, 0, 0, 12, 35, 186
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\GBuffer.h", "C++", 25, 0, 0, 0, 1, 15, 41
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.h", "C++", 1, 0, 0, 0, 1, 0, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Mesh.cpp", "C++", -247, 0, 0, 0, -166, -78, -491
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Mesh.h", "C++", -54, 0, 0, 0, -8, -20, -82
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.h", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.cpp", "C++", -1, 0, 0, 0, 0, -4, -5
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.cpp", "C++", 45, 0, 0, 0, -4, 7, 48
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.h", "C++", 5, 0, 0, 0, -1, 1, 5
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMixManager.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMixManager.h", "C++", 9, 0, 0, 0, 4, 10, 23
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshOld.cpp", "C++", 263, 0, 0, 0, 166, 81, 510
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshOld.h", "C++", 58, 0, 0, 0, 9, 21, 88
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.cpp", "C++", 1, 0, 0, 0, 0, 2, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.h", "C++", 0, 0, 0, 0, 2, 0, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.h", "C++", 0, 0, 0, 0, 3, 0, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.cpp", "C++", 3, 0, 0, 0, 0, 1, 4
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.h", "C++", 1, 0, 0, 0, 1, 1, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.h", "C++", 0, 0, 0, 0, 2, 0, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.cpp", "C++", 12, 0, 0, 0, 0, 2, 14
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.h", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectEnd.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectFog.cpp", "C++", 160, 0, 0, 0, 8, 43, 211
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectFog.h", "C++", 41, 0, 0, 0, 0, 24, 65
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.cpp", "C++", 14, 0, 0, 0, 0, 2, 16
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.h", "C++", 2, 0, 0, 0, 0, 1, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSSAO.cpp", "C++", 35, 0, 0, 0, 1, 5, 41
