"filename", "language", "C++", "HLSL", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\GrassLandSample\GrassLandSample.vcxproj", "XML", 0, 0, 0, 130, 0, 0, 130
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\README.md", "Markdown", 0, 0, 41, 0, 0, 17, 58
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.cpp", "C++", 76, 0, 0, 0, 14, 13, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimController.h", "C++", 33, 0, 0, 0, 1, 9, 43
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.cpp", "C++", 219, 0, 0, 0, 12, 68, 299
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMesh.h", "C++", 53, 0, 0, 0, 2, 23, 78
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.cpp", "C++", 131, 0, 0, 0, 1, 35, 167
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\AnimMeshAlloc.h", "C++", 35, 0, 0, 0, 0, 14, 49
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.cpp", "C++", 126, 0, 0, 0, 3, 30, 159
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Camera.h", "C++", 43, 0, 0, 0, 0, 19, 62
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.cpp", "C++", 87, 0, 0, 0, 0, 30, 117
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Common.h", "C++", 97, 0, 0, 0, 7, 36, 140
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.cpp", "C++", 146, 0, 0, 0, 11, 54, 211
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Font.h", "C++", 49, 0, 0, 0, 14, 20, 83
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\GBuffer.cpp", "C++", 139, 0, 0, 0, 12, 35, 186
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\GBuffer.h", "C++", 25, 0, 0, 0, 1, 15, 41
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.cpp", "C++", 52, 0, 0, 0, 0, 17, 69
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Light.h", "C++", 33, 0, 0, 0, 4, 17, 54
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshHierarchy.h", "C++", 8, 0, 0, 0, 5, 6, 19
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.cpp", "C++", 169, 0, 0, 0, 17, 61, 247
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshInstancing.h", "C++", 36, 0, 0, 0, 4, 28, 68
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.cpp", "C++", 353, 0, 0, 0, 84, 112, 549
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMix.h", "C++", 96, 0, 0, 0, 114, 77, 287
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMixManager.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshMixManager.h", "C++", 9, 0, 0, 0, 4, 10, 23
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.cpp", "C++", 179, 0, 0, 0, 13, 56, 248
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshNormalMapping.h", "C++", 33, 0, 0, 0, 5, 26, 64
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshOld.cpp", "C++", 263, 0, 0, 0, 166, 81, 510
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshOld.h", "C++", 58, 0, 0, 0, 9, 21, 88
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.cpp", "C++", 150, 0, 0, 0, 3, 46, 199
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.h", "C++", 32, 0, 0, 0, 7, 24, 63
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.cpp", "C++", 156, 0, 0, 0, 7, 54, 217
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.h", "C++", 37, 0, 0, 0, 6, 28, 71
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.cpp", "C++", 326, 0, 0, 0, 41, 99, 466
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.h", "C++", 58, 0, 0, 0, 10, 24, 92
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.cpp", "C++", 138, 0, 0, 0, 2, 49, 189
